NID,ID,PROYECTO,SONDAJE,ESTE,SUR,HUSO,ZONA,TIPO,ZI,ZF,N1,N2,N3,NR,TIPO DE SUELO,DUREZA ESTIMADA,N FREATICO,DESCRIPCION,,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,3.00,3.45,,,,,Granular,Media,,"Arena arcillosa (maisillo), compacidad media",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,4.00,4.45,,,,,Granular,Media,,"Arena arcillosa (maisillo), compacidad media",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,5.00,5.09,,,,,Granular,Muy compacta,,"Arcilla con roca fracturada, compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,5.09,6,,,,,Granular,Muy compacta,,"Roca y arena arcillosa (maisillo), compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,6.00,6.37,,,,,Granular,Compacta,,"Arena Aarcillosa (maisillo), compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,7.00,7.29,,,,,Granular,Muy compacta,,"Arena Aarcillosa (maisillo),compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,8.00,8.4,,,,,Granular,Compacta,,"Arena Aarcillosa (maisillo),compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,9.00,9.41,,,,,Granular,Compacta,,"Arena Aarcillosa (maisillo),compacidad alta",,,,
,,"PEAC QUILLON, FLORIDA",S-1,714147.00,5929453.00,18,H,,10.00,10.13,,,,,Granular,Muy compacta,,"Arena Aarcillosa (maisillo),compacidad alta",,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,0.00,1,,,,,,-,,Capa vegetal arcillosa color negro,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,1.00,1.45,,,,,Fino,Blanda,,Arcilla de color rojizo. Plástica. Humedad alta. Consistencia blanda.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,2.00,2.45,,,,,Fino,Blanda,,Arcilla de color rojizo. Plástica. Humedad alta. Consistencia blanda.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,3.00,3.45,,,,,Fino,Media,,Arcilla arenosa de color rojizo. Plástica. Humedad alta. Consistencia media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,4.00,4.45,,,,,Fino,Media,,Arcilla arenosa de color rojizo. Plástica. Humedad alta. Consistencia media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,5.00,5.45,,,,,Fino,Media,5.2,Arcilla arenosa de color rojizo. Plástica. Humedad alta. Consistencia media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,6.00,6.45,,,,,Fino,Semi-dura,,Arcilla arenosa de color rojizo. Plástica. Humedad alta. Consistencia semidura.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,7.00,7.45,,,,,Granular,Media,,Arena arcillosa color pardo. Compacidad media.,,,,
,,CONSTRUCCION PISCINA SEMIOLIMPICA CIUDAD DE CAÑETE,S-1,642496.00,5817654.00,18,H,,8.00,8.45,,,,,Granular,Media,,Arena arcillosa color pardo. Compacidad media.,,,,
